Symbol,Kod kreskowy,Nazwa,Kontener,Regał,Półka
ZY16215HF,5902689330902,Szopka bożonarodzeniowa - Święta Rodzina,K39,,
ZY16167,5902689330865,Szopka bożonarodzeniowa - 45 cm - Grande,K39,,
ZY15460,5902689330711,Szopka bożonarodzeniowa,K39,,
ZY16170,5902689309014,Szopka bożonarodzeniowa,K39,,
ZY16170HF,5902689330896,Szopka bożonarodzeniowa - Święta Rodzina,K39,,
ZY15891,5902689330766,Szopka bożonarodzeniowa - 98 cm - Grande,K40,,
K40,5902689330834,Szopka bożonarodzeniowa - 57 cm - Grande,K40,,
ZY22057-21,5902689331008,Figura - owca - 33 cm - Grande,K40,,
ZY16215V,5902689330926,Szopka bożonarodzeniowa - 120 cm - Grande,K40,,
ZY22111,5902689335938,Figura do szopki bożonarodzeniowej - osioł,K40,,
ZY16161,5902689310522,Szopka. bożonarodzeniowa,K40,,
ZY15679V,5902689365430,Szopka bożonarodzeniowa,K40,,
ZY22098C,5902689331534,Figura do szopki bożonarodzeniowej - koń Pankracy,K40,,
ZY22098,5902689331541,Figura do szopki bożonarodzeniowej - koń Ignacy,K40,,
ZY18305,5905805903455,Anioł - skarbonka - 51 cm - Grande,K40,,
ZY18306,5905805903462,Anioł - skarbonka - 60 cm - Grande,K40,,
ZY17685-8,5902689327667,Figurka - św. Roch - 20 cm,K42,,
ZY15891HF,5902689302909,Szopka bożonarodzeniowa - Święta Rodzina - 98 cm,K42,,
ZY22100-21,5902689331411,Figura - baran - 40 cm - Grande,K42,,
ZY22078,5902689331015,Figura -  kozioł - 58 cm - Grande,K42,,
ZY15193Q,5902689330674,Szopka bożonarodzeniowa - 30 cm - Classic,K42,,
ZY22057-19,5902689330995,Figura - owca - 43 cm - Grande,K42,,
ZY16215K-11,5902689330919,Figura do szopki bożonarodzeniowej - owca,K42,,
ZY16750-11,5902689330933,Figura - owieczka - 11 cm - Grande,K42,,
ZY16092HF,5902689330803,Szopka bożonarodzeniowa - Święta Rodzina - 78 cm,K42,,
ZY15193W,5902689330681,Szopka bożonarodzeniowa - 30 cm - Classic,K42,,
ZY15752-5,5902689340246,"Dzieciątko Jezus - 12,5 cm - Boże Narodzenie",K42,,
ZY15752-3.5,5902689340239,Dzieciątko Jezus - 9 cm,K42,,
ZY15316WK,5902689310096,Szopka bożonarodzeniowa - 20 cm - Classic,K42,,
ZY16092,5902689330797,Szopka bożonarodzeniowa - 78 cm - Grande,K41,,
ZY15679,5902689330728,Szopka bożonarodzeniowa - 147 cm - Grande,K41,,
ZY16215,5902689302169,Szopka bożonarodzeniowa - 120 cm - Grande,K41,,
